지역,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug
인천 남구,95.743,96.868,97.356,97.743,97.685,97.58,97.576,97.908,97.959,98.148,98.305,98.476,98.65,99.022,99.121,99.19,99.457,99.594,99.732,99.638,98.943,99.249,99.511,99.706,100,100.112,100.207,100.357,100.513,100.65,100.885,101.215,101.33,101.596,101.899,102.109,102.338,102.443,102.539,102.761,102.956,103.057,103.37,103.686,,,,,,,,,,,,,,,,,,,,,,,,,,
인천 미추홀구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.842,104.219,104.702,105.146,105.925,106.392,106.715,107.121,107.466,107.797,108.195,108.418,108.788,108.931,109.353,109.775,110.217,110.617,111.042,111.508,111.823,112.143,112.387,112.695,113.055,113.378
인천 연수구,98.229,98.157,98.356,98.312,98.091,98.471,98.683,98.829,98.93,98.995,99.075,99.011,99.078,99.227,99.278,99.318,99.347,99.354,99.336,99.443,99.46,99.525,99.604,99.711,100,100.223,99.928,99.991,100.707,100.835,100.958,101.062,101.482,101.878,101.978,102.174,102.514,102.632,102.947,103.112,103.51,103.566,103.812,103.987,104.199,104.496,104.784,105.007,105.319,105.682,105.914,106.277,106.549,106.819,107.146,107.408,107.757,108.136,108.381,108.513,108.934,109.08,109.901,110.105,110.351,110.591,110.867,111.218,111.556,111.692
인천 남동구,97.468,97.69,97.684,97.499,97.426,97.336,97.127,97.182,97.606,97.85,97.794,97.74,97.941,98.001,97.939,97.735,97.41,97.719,97.825,98.002,99.085,99.284,99.46,99.908,100,100.249,100.445,100.826,101.253,101.751,102.037,102.329,102.681,103.191,103.505,103.795,103.984,104.203,104.294,104.371,104.709,105.226,105.475,105.801,106.05,106.654,107.147,107.673,108.158,108.62,108.968,109.424,109.896,110.353,110.739,111.034,111.516,111.979,112.609,113.159,113.515,113.999,114.566,115.113,115.513,115.902,116.286,116.679,117.141,117.631
인천 부평구,97.611,97.779,97.703,97.715,97.98,98.116,98.215,98.509,98.429,98.513,98.738,98.818,98.882,98.927,99.166,99.256,99.475,99.432,99.45,99.692,99.735,99.759,99.879,99.895,100,100.05,100.175,100.656,100.87,101.267,101.507,101.931,102.316,102.803,103.003,103.151,103.476,103.764,104.024,104.043,104.284,104.542,104.781,104.99,105.246,105.725,106.206,106.638,106.897,107.221,107.562,107.903,108.256,108.54,109.033,109.35,109.693,109.959,110.334,110.736,111.319,111.785,112.318,112.618,112.869,113.252,113.58,114.115,114.397,114.737
인천 계양구,94.568,94.878,95.099,95.646,95.851,95.933,96.159,96.22,96.715,97.213,97.434,97.811,97.924,97.933,98.122,98.433,98.338,98.634,98.593,98.577,98.96,99.306,99.785,99.911,100,100.045,100.135,100.202,100.449,100.569,101.128,101.42,101.767,102.061,102.272,102.555,102.875,103.028,103.114,103.357,103.536,103.767,104.033,104.353,104.487,104.836,105.228,105.65,106.04,106.423,106.879,107.365,107.814,108.273,108.618,109.18,109.623,110.028,110.452,110.954,111.334,111.798,112.412,112.977,113.386,113.87,114.329,114.754,115.32,115.867
인천 서구,,,,,,,,,,,,,,,,,,,,,,,,,100,100.087,100.217,100.549,100.798,100.958,101.408,101.555,102.086,102.54,102.845,103.126,103.377,103.602,103.822,104.104,104.373,104.683,104.956,105.403,105.885,105.991,106.452,107.553,107.928,108.273,108.489,108.979,109.397,109.925,110.265,110.495,110.875,111.189,111.627,112.029,112.432,112.894,113.361,113.747,114.15,114.532,114.806,115.155,115.518,115.83
광주 동구,96.166,96.287,96.449,96.601,96.754,96.938,97.151,97.309,97.422,97.525,97.633,97.725,97.85,98.064,98.22,98.331,98.557,98.657,98.726,98.867,99.182,99.365,99.582,99.778,100,100.271,100.407,100.663,100.89,101.162,101.368,101.691,101.936,102.382,102.649,102.709,102.835,103.02,103.266,103.534,103.771,104.107,104.448,104.787,105.179,105.434,105.74,106.339,106.798,107.341,107.778,108.137,108.607,109.041,109.427,109.821,110.263,110.594,110.878,111.229,111.561,111.929,112.239,112.582,112.861,113.124,113.426,113.651,113.91,114.138
광주 서구,94.003,94.005,94.34,94.143,94.865,95.036,95.132,95.449,95.758,95.946,96.182,96.457,96.656,96.508,96.777,96.822,96.989,97.254,97.423,97.925,98.191,98.745,99.158,99.647,100,100.033,100.246,100.508,100.888,101.068,101.378,101.786,102.247,102.726,103.104,103.549,103.723,104.069,104.405,104.626,105.043,105.681,106.117,106.448,106.92,107.3,107.642,108.235,109.02,109.298,109.706,110.311,110.75,111.054,111.475,111.96,112.259,112.707,113.043,113.868,114.502,114.823,115.38,115.649,116.023,116.281,116.487,117.032,117.42,117.762
광주 남구,96.097,96.286,96.641,96.988,97.533,97.533,98.027,98.052,98.345,98.345,98.348,98.348,98.907,99.278,99.305,99.305,99.471,99.286,99.286,99.307,99.307,99.307,99.389,99.389,100,101.134,101.134,100.667,100.458,101.382,102.608,103.924,104.122,104.789,104.942,105.597,106.957,107.025,107.829,109.881,110.276,111.817,113.434,114.029,114.737,114.737,115.668,118.893,120.633,121.382,122.78,122.78,123.439,123.498,123.655,124.355,125.044,125.439,126.082,126.779,126.988,127.4,128.607,128.943,129.277,129.61,129.827,130.799,132.033,132.404
광주 북구,98.985,99.01,99.079,99.079,99.079,99.079,98.729,98.729,98.596,98.748,98.903,98.988,99.402,99.498,99.419,99.373,99.433,99.614,99.527,99.676,99.55,99.684,99.694,99.725,100,100.29,100.415,100.495,100.972,101.161,101.78,102.036,102.775,103.569,104.088,104.226,104.394,104.524,104.72,105.345,105.696,106.228,107.116,107.773,107.773,108.399,108.802,108.941,109.293,109.482,109.777,110.175,110.493,111.102,111.688,111.85,112.252,112.473,112.621,112.748,113.065,113.358,113.743,113.916,114.263,114.587,114.813,115.157,117.032,118.602
