역번호,호선,역명,역주소(새주소),구,법정동,행정동
330,3,교대,서초구 서초대로  294 (서초동),서초구,서초동,서초4동
331,3,남부터미널,서초구 서초중앙로  31 (서초동),서초구,서초동,서초1동
332,3,양재,서초구 남부순환로  2585 (서초동),서초구,서초동,서초2동
333,3,매봉,강남구 남부순환로  2744 (도곡동),강남구,도곡동,도곡1동
334,3,도곡,강남구 남부순환로  2814 (도곡동),강남구,도곡동,도곡1동
335,3,대치,강남구 남부순환로  2952 (대치동),강남구,대치동,도곡2동
336,3,학여울,강남구 남부순환로  3104 (대치동),강남구,대치동,대치2동
337,3,대청,강남구 일원로  2 (일원동),강남구,일원동,일원2동
338,3,일원,강남구 일원로  121 (일원동),강남구,일원동,일원본동
339,3,수서,강남구 광평로  270 (수서동),강남구,수서동,수서동
340,3,가락시장,송파구 송파대로  257 (가락동),송파구,가락동,가락본동
341,3,경찰병원,송파구 중대로  149 (가락동),송파구,가락동,가락2동
342,3,오금,송파구 오금로  321 (오금동),송파구,오금동,오금동
409,4,당고개,노원구 상계로 305 (상계동),노원구,상계동,상계3.4동
410,4,상계,노원구 상계로 182 (상계동),노원구,상계동,상계5동
411,4,노원,노원구 상계로 69-1 (상계동),노원구,상계동,상계2동
412,4,창동,도봉구 마들로 11길 77 (창동),도봉구,창동,창제4동
413,4,쌍문,도봉구 도봉로  486-1 (창동),도봉구,창동,창제1동
414,4,수유,강북구 도봉로  50 (미아동),강북구,미아동,번1동
415,4,미아,강북구 도봉로  198 (미아동),강북구,미아동,송천동
416,4,미아사거리,강북구 도봉로  50 (미아동),강북구,미아동,송중동
417,4,길음,성북구 동소문로  248 (길음동),성북구,길음동,길음1동
418,4,성신여대입구,성북구 동소문로  102 (동선동4가),성북구,동선동4가,동선동
419,4,한성대입구,성북구 삼선교로 1 (삼선동1가),성북구,삼선동1가,삼선동
420,4,혜화,종로구 대학로  120 (동숭동),종로구,동숭동,이화동
421,4,동대문,종로구 율곡로 308 (종로6가),종로구,종로6가,종로5.6가동
422,4,동대문역사문화공원,중구 장충단로  230 (광희동 2가),중구,광희동 2가,광희동
423,4,충무로,중구 퇴계로  199 (필동2가),중구,필동2가,필동
424,4,명동,중구 퇴계로  126 (충무로2가),중구,충무로2가,명동
425,4,회현,중구 퇴계로  54 (남창동),중구,남창동,회현동
426,4,서울역,용산구 한강대로  392 (동자동) ,용산구,동자동,남영동
427,4,숙대입구,용산구 한강대로  306 (갈월동),용산구,갈월동,남영동
428,4,삼각지,용산구 한강대로  180 (한강로1가),용산구,한강로1가,한강로동
429,4,신용산,용산구 한강대로  112 (한강로2가),용산구,한강로2가,한강로동
430,4,이촌,용산구 서빙고로 지하83 (용산동),용산구,용산동,한강로동
431,4,동작,동작구 현충로 257 (동작동),동작구,동작동,사당2동
432,4,총신대입구,동작구 동작대로  117 (사당동),동작구,사당동,사당2동
433,4,사당,동작구 동작대로 3(사당동),동작구,사당동,사당1동
434,4,남태령,서초구 과천대로  816 (방배동),서초구,방배동,방배2동
2511,5,방화,강서구 금낭화로 132 (방화동),강서구,방화동,방화3동
2512,5,개화산,강서구 양천로 22(방화동),강서구,방화동,방화2동
2513,5,김포공항,강서구 하늘길 77 (방화동),강서구,방화동,방화2동
2514,5,송정,강서구 공항대로 33 (공항동),강서구,공항동,공항동
2515,5,마곡,강서구 공항대로 163 (마곡동),강서구,마곡동,발산1동
2516,5,발산,강서구 공항대로 267 (가양동),강서구,가양동,발산1동
2517,5,우장산,강서구 강서로 262 (화곡동),강서구,화곡동,우장산동
2518,5,화곡,강서구 화곡로 168 (화곡동),강서구,화곡동,화곡1동
2519,5,까치산,강서구 강서로 54(화곡동),강서구,화곡동,화곡8동
