지역구,지역동,업종,점포수,,,,,,,,,,,,,,,,
중랑구,면목4동,커피전문점,26,,,,,,,,,,,,,,,,
중랑구,면목5동,커피전문점,8,,,,,,,,,,,,,,,,
중랑구,면목본동,커피전문점,42,,,,,,,,,,,,,,,,
중랑구,면목7동,커피전문점,20,,,,,,,,,,,,,,,,
중랑구,면목3.8동,커피전문점,45,,,,,,,,,,,,,,,,
중랑구,상봉1동,커피전문점,27,,,,,,,,,,,,,,,,
중랑구,상봉2동,커피전문점,50,,,,,,,,,,,,,,,,
중랑구,중화1동,커피전문점,20,,,,,,,,,,,,,,,,
중랑구,중화2동,커피전문점,27,,,,,,,,,,,,,,,,
중랑구,묵1동,커피전문점,35,,,,,,,,,,,,,,,,
중랑구,묵2동,커피전문점,21,,,,,,,,,,,,,,,,
중랑구,망우본동,커피전문점,48,,,,,,,,,,,,,,,,
중랑구,망우3동,커피전문점,14,,,,,,,,,,,,,,,,
중랑구,신내1동,커피전문점,42,,,,,,,,,,,,,,,,
중랑구,신내2동,커피전문점,13,,,,,,,,,,,,,,,,
성북구,성북동,커피전문점,43,,,,,,,,,,,,,,,,
성북구,삼선동,커피전문점,81,,,,,,,,,,,,,,,,
성북구,동선동,커피전문점,106,,,,,,,,,,,,,,,,
성북구,돈암1동,커피전문점,2,,,,,,,,,,,,,,,,
성북구,돈암2동,커피전문점,1,,,,,,,,,,,,,,,,
성북구,안암동,커피전문점,97,,,,,,,,,,,,,,,,
성북구,보문동,커피전문점,25,,,,,,,,,,,,,,,,
성북구,정릉1동,커피전문점,17,,,,,,,,,,,,,,,,
성북구,정릉2동,커피전문점,21,,,,,,,,,,,,,,,,
성북구,정릉3동,커피전문점,19,,,,,,,,,,,,,,,,
성북구,정릉4동,커피전문점,24,,,,,,,,,,,,,,,,
성북구,길음1동,커피전문점,26,,,,,,,,,,,,,,,,
성북구,길음2동,커피전문점,23,,,,,,,,,,,,,,,,
성북구,종암동,커피전문점,41,,,,,,,,,,,,,,,,
성북구,월곡1동,커피전문점,29,,,,,,,,,,,,,,,,
성북구,월곡2동,커피전문점,54,,,,,,,,,,,,,,,,
성북구,장위1동,커피전문점,17,,,,,,,,,,,,,,,,
성북구,장위2동,커피전문점,16,,,,,,,,,,,,,,,,
성북구,장위3동,커피전문점,9,,,,,,,,,,,,,,,,
성북구,석관동,커피전문점,31,,,,,,,,,,,,,,,,
강북구,삼양동,커피전문점,16,,,,,,,,,,,,,,,,
강북구,미아동,커피전문점,42,,,,,,,,,,,,,,,,
강북구,송중동,커피전문점,54,,,,,,,,,,,,,,,,
강북구,송천동,커피전문점,41,,,,,,,,,,,,,,,,
강북구,삼각산동,커피전문점,19,,,,,,,,,,,,,,,,
강북구,번1동,커피전문점,46,,,,,,,,,,,,,,,,
강북구,번2동,커피전문점,10,,,,,,,,,,,,,,,,
강북구,번3동,커피전문점,13,,,,,,,,,,,,,,,,
강북구,수유1동,커피전문점,25,,,,,,,,,,,,,,,,
강북구,수유2동,커피전문점,24,,,,,,,,,,,,,,,,
강북구,수유3동,커피전문점,66,,,,,,,,,,,,,,,,
강북구,우이동,커피전문점,54,,,,,,,,,,,,,,,,
강북구,인수동,커피전문점,44,,,,,,,,,,,,,,,,
도봉구,창1동,커피전문점,27,,,,,,,,,,,,,,,,
도봉구,창2동,커피전문점,19,,,,,,,,,,,,,,,,
도봉구,창3동,커피전문점,12,,,,,,,,,,,,,,,,
도봉구,창4동,커피전문점,21,,,,,,,,,,,,,,,,
도봉구,창5동,커피전문점,44,,,,,,,,,,,,,,,,
도봉구,도봉1동,커피전문점,29,,,,,,,,,,,,,,,,
도봉구,도봉2동,커피전문점,27,,,,,,,,,,,,,,,,
도봉구,쌍문1동,커피전문점,31,,,,,,,,,,,,,,,,
도봉구,쌍문2동,커피전문점,20,,,,,,,,,,,,,,,,
도봉구,쌍문3동,커피전문점,25,,,,,,,,,,,,,,,,
도봉구,쌍문4동,커피전문점,8,,,,,,,,,,,,,,,,
도봉구,방학1동,커피전문점,49,,,,,,,,,,,,,,,,
도봉구,방학2동,커피전문점,13,,,,,,,,,,,,,,,,
도봉구,방학3동,커피전문점,16,,,,,,,,,,,,,,,,
노원구,월계1동,커피전문점,49,,,,,,,,,,,,,,,,
노원구,월계2동,커피전문점,16,,,,,,,,,,,,,,,,
노원구,월계3동,커피전문점,17,,,,,,,,,,,,,,,,
노원구,공릉1동,커피전문점,94,,,,,,,,,,,,,,,,
노원구,공릉2동,커피전문점,83,,,,,,,,,,,,,,,,
노원구,하계1동,커피전문점,28,,,,,,,,,,,,,,,,
노원구,하계2동,커피전문점,4,,,,,,,,,,,,,,,,
노원구,중계본동,커피전문점,35,,,,,,,,,,,,,,,,
노원구,중계1동,커피전문점,25,,,,,,,,,,,,,,,,
노원구,중계4동,커피전문점,27,,,,,,,,,,,,,,,,
노원구,중계2.3동,커피전문점,25,,,,,,,,,,,,,,,,
노원구,상계1동,커피전문점,50,,,,,,,,,,,,,,,,
노원구,상계2동,커피전문점,81,,,,,,,,,,,,,,,,
노원구,상계3.4동,커피전문점,25,,,,,,,,,,,,,,,,
노원구,상계5동,커피전문점,23,,,,,,,,,,,,,,,,
노원구,상계6.7동,커피전문점,42,,,,,,,,,,,,,,,,
노원구,상계8동,커피전문점,9,,,,,,,,,,,,,,,,
노원구,상계9동,커피전문점,8,,,,,,,,,,,,,,,,
노원구,상계10동,커피전문점,10,,,,,,,,,,,,,,,,
은평구,녹번동,커피전문점,53,,,,,,,,,,,,,,,,
은평구,불광1동,커피전문점,31,,,,,,,,,,,,,,,,
은평구,불광2동,커피전문점,26,,,,,,,,,,,,,,,,
은평구,갈현1동,커피전문점,42,,,,,,,,,,,,,,,,
은평구,갈현2동,커피전문점,50,,,,,,,,,,,,,,,,
은평구,구산동,커피전문점,25,,,,,,,,,,,,,,,,
은평구,대조동,커피전문점,70,,,,,,,,,,,,,,,,
은평구,응암1동,커피전문점,44,,,,,,,,,,,,,,,,
은평구,응암2동,커피전문점,15,,,,,,,,,,,,,,,,
은평구,응암3동,커피전문점,45,,,,,,,,,,,,,,,,
은평구,역촌동,커피전문점,67,,,,,,,,,,,,,,,,
은평구,신사1동,커피전문점,31,,,,,,,,,,,,,,,,
은평구,신사2동,커피전문점,17,,,,,,,,,,,,,,,,
은평구,증산동,커피전문점,16,,,,,,,,,,,,,,,,
은평구,수색동,커피전문점,4,,,,,,,,,,,,,,,,
은평구,진관동,커피전문점,81,,,,,,,,,,,,,,,,
서대문구,천연동,커피전문점,24,,,,,,,,,,,,,,,,
서대문구,북아현동,커피전문점,14,,,,,,,,,,,,,,,,
서대문구,충현동,커피전문점,84,,,,,,,,,,,,,,,,
서대문구,신촌동,커피전문점,246,,,,,,,,,,,,,,,,
서대문구,연희동,커피전문점,97,,,,,,,,,,,,,,,,
서대문구,홍제1동,커피전문점,23,,,,,,,,,,,,,,,,
서대문구,홍제3동,커피전문점,26,,,,,,,,,,,,,,,,
서대문구,홍제2동,커피전문점,11,,,,,,,,,,,,,,,,
서대문구,홍은1동,커피전문점,19,,,,,,,,,,,,,,,,
서대문구,홍은2동,커피전문점,33,,,,,,,,,,,,,,,,
서대문구,남가좌1동,커피전문점,17,,,,,,,,,,,,,,,,
서대문구,남가좌2동,커피전문점,48,,,,,,,,,,,,,,,,
서대문구,북가좌1동,커피전문점,7,,,,,,,,,,,,,,,,
서대문구,북가좌2동,커피전문점,30,,,,,,,,,,,,,,,,
마포구,아현동,커피전문점,83,,,,,,,,,,,,,,,,
마포구,공덕동,커피전문점,38,,,,,,,,,,,,,,,,
마포구,도화동,커피전문점,54,,,,,,,,,,,,,,,,
마포구,용강동,커피전문점,58,,,,,,,,,,,,,,,,
마포구,대흥동,커피전문점,69,,,,,,,,,,,,,,,,
마포구,염리동,커피전문점,30,,,,,,,,,,,,,,,,
마포구,신수동,커피전문점,35,,,,,,,,,,,,,,,,
마포구,서강동,커피전문점,112,,,,,,,,,,,,,,,,
마포구,서교동,커피전문점,613,,,,,,,,,,,,,,,,
마포구,합정동,커피전문점,133,,,,,,,,,,,,,,,,
마포구,망원1동,커피전문점,92,,,,,,,,,,,,,,,,
마포구,망원2동,커피전문점,51,,,,,,,,,,,,,,,,
마포구,연남동,커피전문점,198,,,,,,,,,,,,,,,,
마포구,성산1동,커피전문점,61,,,,,,,,,,,,,,,,
마포구,성산2동,커피전문점,40,,,,,,,,,,,,,,,,
마포구,상암동,커피전문점,170,,,,,,,,,,,,,,,,
양천구,목1동,커피전문점,108,,,,,,,,,,,,,,,,
양천구,목2동,커피전문점,35,,,,,,,,,,,,,,,,
양천구,목3동,커피전문점,27,,,,,,,,,,,,,,,,
양천구,목4동,커피전문점,30,,,,,,,,,,,,,,,,
양천구,목5동,커피전문점,29,,,,,,,,,,,,,,,,
양천구,신월1동,커피전문점,19,,,,,,,,,,,,,,,,
양천구,신월2동,커피전문점,17,,,,,,,,,,,,,,,,
양천구,신월3동,커피전문점,17,,,,,,,,,,,,,,,,
양천구,신월4동,커피전문점,15,,,,,,,,,,,,,,,,
양천구,신월5동,커피전문점,19,,,,,,,,,,,,,,,,
양천구,신월6동,커피전문점,11,,,,,,,,,,,,,,,,
양천구,신월7동,커피전문점,18,,,,,,,,,,,,,,,,
양천구,신정1동,커피전문점,29,,,,,,,,,,,,,,,,
양천구,신정2동,커피전문점,32,,,,,,,,,,,,,,,,
양천구,신정3동,커피전문점,28,,,,,,,,,,,,,,,,
양천구,신정4동,커피전문점,71,,,,,,,,,,,,,,,,
양천구,신정6동,커피전문점,15,,,,,,,,,,,,,,,,
양천구,신정7동,커피전문점,20,,,,,,,,,,,,,,,,
강서구,염창동,커피전문점,54,,,,,,,,,,,,,,,,
강서구,등촌1동,커피전문점,51,,,,,,,,,,,,,,,,
강서구,등촌2동,커피전문점,27,,,,,,,,,,,,,,,,
강서구,등촌3동,커피전문점,56,,,,,,,,,,,,,,,,
강서구,화곡1동,커피전문점,59,,,,,,,,,,,,,,,,
강서구,화곡2동,커피전문점,10,,,,,,,,,,,,,,,,
강서구,화곡3동,커피전문점,32,,,,,,,,,,,,,,,,
강서구,화곡4동,커피전문점,21,,,,,,,,,,,,,,,,
강서구,화곡본동,커피전문점,26,,,,,,,,,,,,,,,,
강서구,화곡6동,커피전문점,39,,,,,,,,,,,,,,,,
강서구,화곡8동,커피전문점,23,,,,,,,,,,,,,,,,
강서구,가양1동,커피전문점,206,,,,,,,,,,,,,,,,
강서구,가양2동,커피전문점,2,,,,,,,,,,,,,,,,
강서구,가양3동,커피전문점,10,,,,,,,,,,,,,,,,
강서구,발산1동,커피전문점,85,,,,,,,,,,,,,,,,
강서구,우장산동,커피전문점,37,,,,,,,,,,,,,,,,
강서구,공항동,커피전문점,48,,,,,,,,,,,,,,,,
강서구,방화1동,커피전문점,47,,,,,,,,,,,,,,,,
강서구,방화2동,커피전문점,36,,,,,,,,,,,,,,,,
강서구,방화3동,커피전문점,18,,,,,,,,,,,,,,,,
구로구,신도림동,커피전문점,47,,,,,,,,,,,,,,,,
구로구,구로1동,커피전문점,11,,,,,,,,,,,,,,,,
구로구,구로2동,커피전문점,60,,,,,,,,,,,,,,,,
구로구,구로3동,커피전문점,134,,,,,,,,,,,,,,,,
구로구,구로4동,커피전문점,25,,,,,,,,,,,,,,,,
구로구,구로5동,커피전문점,68,,,,,,,,,,,,,,,,
구로구,가리봉동,커피전문점,9,,,,,,,,,,,,,,,,
구로구,고척1동,커피전문점,34,,,,,,,,,,,,,,,,
구로구,고척2동,커피전문점,23,,,,,,,,,,,,,,,,
