역번호,역명,구,행정동
2644,돌곶이,성북구,석관동
2645,석계,노원구,월계3동
2646,태릉입구,노원구,공릉1동
2647,화랑대,노원구,공릉2동
2648,봉화산,중랑구,신내2동
2649,신내,중랑구,망우본동
2712,도봉산,도봉구,도봉2동
2713,수락산,노원구,상계1동
2714,마들,노원구,상계8동
2715,노원,노원구,상계2동
2716,중계,노원구,중계2.3동
2717,하계,노원구,하계2동
2718,공릉,노원구,공릉1동
2719,태릉입구,노원구,공릉1동
2720,먹골,중랑구,묵2동
2721,중화,중랑구,중화2동
2722,상봉,중랑구,상봉2동
2723,면목,중랑구,면목본동
2724,사가정,중랑구,면목7동
2725,용마산,중랑구,면목4동
2726,중곡,광진구,중곡3동
2727,군자,광진구,능동
2728,어린이대공원,광진구,화양동
2729,건대입구,광진구,화양동
2730,뚝섬유원지,광진구,자양3동
2731,청담,강남구,청담동
2732,강남구청,강남구,삼성2동
2733,학동,강남구,논현2동
2734,논현,강남구,논현1동
2735,반포,서초구,잠원동
2736,고속터미널,서초구,반포4동
2737,내방,서초구,방배1동
2738,이수,동작구,사당2동
2739,남성,동작구,사당3동
2740,숭실대입구,동작구,상도1동
2741,상도,동작구,상도1동
2742,장승배기,동작구,상도2동
2743,신대방삼거리,동작구,대방동
2744,보라매,동작구,대방동
2745,신풍,영등포구,영등포본동
2746,대림,영등포구,대림3동
2747,남구로,구로구,구로4동
2748,가산디지털단지,금천구,가산동
2751,천왕,구로구,수궁동
2752,온수,구로구,수궁동
2811,암사,강동구,암사1동
2812,천호,강동구,천호2동
2813,강동구청,강동구,성내1동
2814,몽촌토성,송파구,방이2동
2815,잠실,송파구,잠실6동
2816,석촌,송파구,석촌동
2817,송파,송파구,송파2동
2818,가락시장,송파구,가락본동
2819,문정,송파구,문정1동
2820,장지,송파구,문정2동
2821,복정,송파구,문정2동
